epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,368.105,1.30391,0.86428,1.3985,0.60105,0.7596,0.73333,0.47328,1.66997,1.60436,1.62593,8.22454e-05,8.22454e-05,8.22454e-05
42,377.78,1.29559,0.90573,1.41007,0.5814,0.69272,0.73086,0.49177,1.54323,1.51837,1.58449,8.03876e-05,8.03876e-05,8.03876e-05
43,387.315,1.30581,0.86425,1.40079,0.57485,0.7957,0.76189,0.48756,1.63128,1.54468,1.57887,7.85127e-05,7.85127e-05,7.85127e-05
44,395.979,1.31,0.8918,1.40121,0.71035,0.66964,0.76499,0.50373,1.60233,1.52261,1.60804,7.66226e-05,7.66226e-05,7.66226e-05
45,404.969,1.28984,0.85514,1.37326,0.59523,0.78358,0.73741,0.45828,1.71799,1.47291,1.65095,7.47192e-05,7.47192e-05,7.47192e-05
46,413.568,1.2764,0.84691,1.3854,0.63855,0.67905,0.71,0.46471,1.61793,1.3793,1.57937,7.28044e-05,7.28044e-05,7.28044e-05
47,422.244,1.30135,0.86731,1.39754,0.72673,0.59646,0.73421,0.4677,1.61647,1.55819,1.54624,7.088e-05,7.088e-05,7.088e-05
48,430.823,1.27745,0.82821,1.37671,0.68881,0.65829,0.74346,0.50029,1.51292,1.52079,1.50733,6.8948e-05,6.8948e-05,6.8948e-05
49,439.514,1.27846,0.85381,1.37865,0.62121,0.72305,0.71185,0.47088,1.59473,1.40027,1.57082,6.70102e-05,6.70102e-05,6.70102e-05
50,448.434,1.26696,0.80755,1.36791,0.70441,0.67022,0.73855,0.48411,1.58357,1.53279,1.55393,6.50685e-05,6.50685e-05,6.50685e-05
51,457.012,1.29124,0.84093,1.39458,0.62474,0.71673,0.72169,0.48298,1.60241,1.61465,1.57618,6.3125e-05,6.3125e-05,6.3125e-05
52,465.562,1.27937,0.82082,1.39523,0.65344,0.67278,0.67646,0.42201,1.67067,1.52259,1.59531,6.11815e-05,6.11815e-05,6.11815e-05
53,474.23,1.26487,0.79523,1.37647,0.64325,0.67354,0.75087,0.49637,1.59906,1.491,1.56086,5.92398e-05,5.92398e-05,5.92398e-05
54,482.935,1.22988,0.83092,1.35337,0.68219,0.69427,0.71458,0.45823,1.62075,1.51518,1.56299,5.7302e-05,5.7302e-05,5.7302e-05
55,491.584,1.24262,0.79628,1.37199,0.64571,0.68457,0.68222,0.45518,1.57415,1.45053,1.55536,5.537e-05,5.537e-05,5.537e-05
56,500.219,1.2515,0.78203,1.36719,0.6146,0.73182,0.71588,0.47038,1.61798,1.46621,1.56551,5.34456e-05,5.34456e-05,5.34456e-05
57,508.933,1.22642,0.80051,1.33512,0.61666,0.73751,0.73227,0.47937,1.59882,1.51997,1.55526,5.15308e-05,5.15308e-05,5.15308e-05
58,517.528,1.23815,0.78211,1.34932,0.65522,0.70891,0.73761,0.48307,1.62378,1.50638,1.59497,4.96274e-05,4.96274e-05,4.96274e-05
59,526.216,1.22841,0.77558,1.33363,0.69816,0.61774,0.72863,0.50348,1.60487,1.61998,1.5789,4.77373e-05,4.77373e-05,4.77373e-05
60,534.952,1.22345,0.75616,1.33237,0.66826,0.64801,0.71236,0.48173,1.61081,1.57456,1.59986,4.58624e-05,4.58624e-05,4.58624e-05
61,543.697,1.23013,0.78301,1.34716,0.63005,0.72898,0.70928,0.46181,1.65359,1.49857,1.59238,4.40046e-05,4.40046e-05,4.40046e-05
62,552.281,1.22833,0.79833,1.34915,0.59604,0.74869,0.72933,0.49424,1.56968,1.50274,1.52863,4.21656e-05,4.21656e-05,4.21656e-05
63,560.918,1.20594,0.75752,1.33668,0.58839,0.76613,0.7151,0.48292,1.59698,1.49002,1.58962,4.03473e-05,4.03473e-05,4.03473e-05
64,569.557,1.21782,0.78808,1.34464,0.60311,0.71734,0.74179,0.49153,1.62943,1.43692,1.61056,3.85515e-05,3.85515e-05,3.85515e-05
65,578.346,1.20637,0.74539,1.32132,0.61842,0.75461,0.74388,0.49491,1.6807,1.41441,1.64131,3.67799e-05,3.67799e-05,3.67799e-05
66,586.97,1.19668,0.75124,1.32135,0.6144,0.75974,0.75116,0.51014,1.60513,1.41729,1.56978,3.50343e-05,3.50343e-05,3.50343e-05
67,596.566,1.19159,0.72448,1.30972,0.59578,0.72797,0.74716,0.50261,1.61853,1.43025,1.57842,3.33165e-05,3.33165e-05,3.33165e-05
68,605.194,1.22255,0.77006,1.34498,0.64696,0.72524,0.74326,0.50141,1.62812,1.46798,1.58907,3.16281e-05,3.16281e-05,3.16281e-05
69,613.827,1.173,0.73894,1.32384,0.63871,0.72076,0.72788,0.46924,1.63686,1.4949,1.59515,2.99707e-05,2.99707e-05,2.99707e-05
70,622.535,1.18398,0.74028,1.31551,0.60046,0.72772,0.70784,0.47168,1.63439,1.52148,1.61327,2.83461e-05,2.83461e-05,2.83461e-05
71,631.164,1.18686,0.72996,1.32385,0.62239,0.72222,0.70629,0.47636,1.60039,1.50798,1.57958,2.67558e-05,2.67558e-05,2.67558e-05
72,639.788,1.18126,0.71336,1.31298,0.62138,0.72477,0.70094,0.45917,1.65386,1.49641,1.61143,2.52014e-05,2.52014e-05,2.52014e-05
73,648.977,1.16693,0.71268,1.31044,0.59642,0.71129,0.71457,0.47529,1.60141,1.54485,1.58247,2.36844e-05,2.36844e-05,2.36844e-05
74,657.581,1.18307,0.72198,1.31998,0.68449,0.61136,0.71384,0.48187,1.58977,1.55554,1.57704,2.22063e-05,2.22063e-05,2.22063e-05
75,666.25,1.1753,0.71997,1.29961,0.57047,0.74317,0.73285,0.48576,1.60895,1.54685,1.60335,2.07686e-05,2.07686e-05,2.07686e-05
76,674.873,1.19385,0.74192,1.30342,0.69025,0.61055,0.71339,0.47137,1.59969,1.57403,1.59534,1.93728e-05,1.93728e-05,1.93728e-05
77,683.419,1.139,0.71855,1.29582,0.64246,0.63121,0.70105,0.46967,1.58501,1.55538,1.57487,1.80201e-05,1.80201e-05,1.80201e-05
78,691.966,1.16938,0.71807,1.31598,0.58464,0.67964,0.70865,0.48204,1.56893,1.57111,1.56874,1.67119e-05,1.67119e-05,1.67119e-05
79,700.707,1.1408,0.71714,1.28129,0.57701,0.72789,0.71007,0.47626,1.59203,1.56956,1.58914,1.54495e-05,1.54495e-05,1.54495e-05
80,709.373,1.14708,0.68584,1.31401,0.58279,0.7231,0.70866,0.48292,1.58828,1.56559,1.58593,1.42342e-05,1.42342e-05,1.42342e-05
81,717.97,1.15232,0.70627,1.30285,0.65412,0.63757,0.71227,0.47578,1.60366,1.5105,1.58821,1.30671e-05,1.30671e-05,1.30671e-05
82,726.86,1.17324,0.72332,1.30537,0.64755,0.64337,0.70105,0.46683,1.5967,1.51792,1.58926,1.19494e-05,1.19494e-05,1.19494e-05
83,735.405,1.15352,0.7169,1.2989,0.59188,0.68065,0.70318,0.47492,1.57598,1.48814,1.57716,1.08822e-05,1.08822e-05,1.08822e-05
84,744.065,1.11416,0.68874,1.26521,0.59583,0.71894,0.72967,0.4906,1.60218,1.47375,1.58991,9.86659e-06,9.86659e-06,9.86659e-06
85,752.771,1.15236,0.70758,1.29778,0.5739,0.71239,0.73304,0.49022,1.58889,1.4748,1.58736,8.90352e-06,8.90352e-06,8.90352e-06
86,762.055,1.04724,0.54536,1.30971,0.75304,0.57581,0.70892,0.46023,1.63232,1.52952,1.61931,7.99397e-06,7.99397e-06,7.99397e-06
87,770.681,1.02901,0.53482,1.28379,0.7184,0.57719,0.70815,0.46288,1.62856,1.50693,1.61577,7.13883e-06,7.13883e-06,7.13883e-06
88,779.189,1.03212,0.52715,1.27487,0.56147,0.72501,0.71395,0.47487,1.63675,1.51056,1.61688,6.33893e-06,6.33893e-06,6.33893e-06
89,787.917,1.00931,0.51517,1.26663,0.58227,0.72074,0.71279,0.46995,1.63248,1.52005,1.6091,5.59508e-06,5.59508e-06,5.59508e-06
90,796.502,1.03231,0.53193,1.29754,0.5953,0.68571,0.71323,0.47141,1.61814,1.49937,1.60055,4.908e-06,4.908e-06,4.908e-06
91,805.06,1.01124,0.52357,1.27046,0.59052,0.68703,0.71249,0.46918,1.6078,1.50943,1.5969,4.27838e-06,4.27838e-06,4.27838e-06
92,813.634,1.00013,0.5185,1.24991,0.62763,0.67992,0.7127,0.47278,1.61351,1.52516,1.60293,3.70683e-06,3.70683e-06,3.70683e-06
93,822.169,1.00379,0.51914,1.25099,0.63357,0.67493,0.71374,0.47901,1.6052,1.52227,1.5996,3.19392e-06,3.19392e-06,3.19392e-06
94,830.833,0.99544,0.49841,1.24353,0.64356,0.66425,0.71349,0.47516,1.60428,1.52989,1.60164,2.74015e-06,2.74015e-06,2.74015e-06
95,839.522,1.00731,0.51196,1.25672,0.56722,0.72936,0.71309,0.48021,1.59884,1.51632,1.60009,2.34598e-06,2.34598e-06,2.34598e-06
96,848.091,1.00515,0.51835,1.26578,0.5994,0.68609,0.71277,0.47586,1.59917,1.51676,1.59616,2.01178e-06,2.01178e-06,2.01178e-06
