epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,494.241,1.23415,0.79384,1.25453,0.74014,0.68581,0.75578,0.46803,1.60804,1.51948,1.44343,8.22454e-05,8.22454e-05,8.22454e-05
42,505.659,1.24387,0.82747,1.27463,0.64504,0.706,0.75455,0.49491,1.6448,1.49791,1.46769,8.03876e-05,8.03876e-05,8.03876e-05
43,517.835,1.23214,0.7817,1.25979,0.68056,0.67057,0.72211,0.43678,1.87124,1.5561,1.62212,7.85127e-05,7.85127e-05,7.85127e-05
44,529.253,1.23716,0.81527,1.25873,0.72422,0.67989,0.73462,0.4663,1.65007,1.42316,1.51538,7.66226e-05,7.66226e-05,7.66226e-05
45,540.966,1.2269,0.77817,1.24251,0.69045,0.68531,0.74766,0.47796,1.64605,1.35733,1.4676,7.47192e-05,7.47192e-05,7.47192e-05
46,552.468,1.20531,0.7728,1.23681,0.60829,0.77357,0.7475,0.47754,1.65614,1.28052,1.4839,7.28044e-05,7.28044e-05,7.28044e-05
47,564.028,1.23665,0.80549,1.26365,0.65116,0.78715,0.76241,0.49316,1.70942,1.44597,1.50155,7.088e-05,7.088e-05,7.088e-05
48,575.516,1.20029,0.76402,1.23663,0.62084,0.76824,0.76215,0.49499,1.6772,1.40598,1.4948,6.8948e-05,6.8948e-05,6.8948e-05
49,587.961,1.20198,0.78435,1.23185,0.65399,0.76278,0.76344,0.4894,1.74959,1.4071,1.52912,6.70102e-05,6.70102e-05,6.70102e-05
50,599.362,1.19763,0.7412,1.23094,0.59318,0.7958,0.75269,0.48946,1.65523,1.39947,1.48383,6.50685e-05,6.50685e-05,6.50685e-05
51,610.789,1.20627,0.76994,1.24617,0.64328,0.73587,0.73409,0.50728,1.5891,1.42163,1.44961,6.3125e-05,6.3125e-05,6.3125e-05
52,623.091,1.19926,0.73678,1.23349,0.62736,0.69945,0.71629,0.47348,1.67847,1.50738,1.49082,6.11815e-05,6.11815e-05,6.11815e-05
53,634.442,1.19491,0.7194,1.23242,0.67722,0.69531,0.73786,0.48932,1.68398,1.49622,1.49098,5.92398e-05,5.92398e-05,5.92398e-05
54,645.935,1.16317,0.74219,1.21795,0.65102,0.76305,0.76078,0.48404,1.72124,1.46366,1.50722,5.7302e-05,5.7302e-05,5.7302e-05
55,657.406,1.16967,0.72992,1.23517,0.68101,0.71204,0.73491,0.4976,1.62311,1.46409,1.4581,5.537e-05,5.537e-05,5.537e-05
56,669.164,1.17283,0.71037,1.22086,0.65233,0.7593,0.74089,0.48495,1.67806,1.335,1.49934,5.34456e-05,5.34456e-05,5.34456e-05
57,680.584,1.1602,0.72862,1.21389,0.64723,0.72505,0.75392,0.48726,1.65713,1.41492,1.47359,5.15308e-05,5.15308e-05,5.15308e-05
58,692.027,1.16434,0.70379,1.20899,0.69086,0.70803,0.74476,0.45297,1.77509,1.42063,1.53088,4.96274e-05,4.96274e-05,4.96274e-05
59,703.402,1.15548,0.70025,1.20024,0.64961,0.75953,0.75385,0.51453,1.68218,1.49335,1.48537,4.77373e-05,4.77373e-05,4.77373e-05
60,715.738,1.14861,0.67401,1.19685,0.62629,0.7658,0.75798,0.52854,1.58144,1.46248,1.43106,4.58624e-05,4.58624e-05,4.58624e-05
61,727.918,1.1562,0.7048,1.2123,0.60251,0.73639,0.74701,0.51098,1.59161,1.41289,1.41985,4.40046e-05,4.40046e-05,4.40046e-05
62,739.316,1.15242,0.71494,1.21046,0.6506,0.73487,0.74109,0.50553,1.63918,1.44488,1.44393,4.21656e-05,4.21656e-05,4.21656e-05
63,750.881,1.11655,0.67358,1.18276,0.62568,0.71527,0.73927,0.51438,1.58877,1.51956,1.44543,4.03473e-05,4.03473e-05,4.03473e-05
64,762.252,1.13083,0.70882,1.19996,0.66258,0.68223,0.73367,0.50122,1.61241,1.45525,1.45614,3.85515e-05,3.85515e-05,3.85515e-05
65,773.757,1.12308,0.67262,1.18861,0.63648,0.72115,0.74777,0.49126,1.70543,1.45694,1.49666,3.67799e-05,3.67799e-05,3.67799e-05
66,785.167,1.11542,0.67878,1.18394,0.61324,0.77152,0.75305,0.5058,1.61589,1.36693,1.44775,3.50343e-05,3.50343e-05,3.50343e-05
67,797.077,1.1135,0.65911,1.17633,0.63448,0.75238,0.75418,0.50407,1.61785,1.37169,1.45787,3.33165e-05,3.33165e-05,3.33165e-05
68,808.431,1.14313,0.69288,1.21103,0.68465,0.69655,0.75328,0.49798,1.659,1.49423,1.47305,3.16281e-05,3.16281e-05,3.16281e-05
69,819.934,1.10173,0.66715,1.18415,0.66826,0.71265,0.74926,0.49138,1.6241,1.48055,1.46208,2.99707e-05,2.99707e-05,2.99707e-05
70,831.388,1.1057,0.66382,1.17936,0.60415,0.75941,0.75193,0.49538,1.67497,1.42894,1.49794,2.83461e-05,2.83461e-05,2.83461e-05
71,843.006,1.10516,0.65708,1.17695,0.67631,0.69242,0.74704,0.52031,1.54699,1.38729,1.43223,2.67558e-05,2.67558e-05,2.67558e-05
72,854.596,1.10696,0.647,1.17898,0.67546,0.68128,0.74718,0.50798,1.60108,1.37984,1.46848,2.52014e-05,2.52014e-05,2.52014e-05
73,865.977,1.08385,0.63087,1.16158,0.60661,0.76166,0.7522,0.52182,1.55904,1.43835,1.45153,2.36844e-05,2.36844e-05,2.36844e-05
74,877.589,1.1012,0.65131,1.17596,0.61931,0.75672,0.74735,0.51922,1.57441,1.40983,1.46997,2.22063e-05,2.22063e-05,2.22063e-05
75,889.201,1.08048,0.63992,1.16324,0.60608,0.76299,0.74051,0.51581,1.58209,1.47256,1.46992,2.07686e-05,2.07686e-05,2.07686e-05
76,900.63,1.10407,0.65462,1.16673,0.67815,0.70573,0.73609,0.51381,1.56954,1.4888,1.4623,1.93728e-05,1.93728e-05,1.93728e-05
77,912.038,1.06062,0.63984,1.15798,0.65667,0.70628,0.73729,0.51618,1.54839,1.43047,1.45654,1.80201e-05,1.80201e-05,1.80201e-05
