epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.744,1.70295,7.77846,2.07639,0.75827,0.13679,0.16634,0.07666,1.84778,3.30901,2.16512,4.16216e-05,4.16216e-05,4.16216e-05
2,519.553,1.64331,5.72144,2.02899,0.53802,0.16098,0.21108,0.08967,2.14919,3.25238,2.44943,8.32069e-05,8.32069e-05,8.32069e-05
3,782.158,1.63325,4.62972,2.01279,0.37611,0.34783,0.30626,0.09969,2.38389,4.19436,2.68785,0.000124467,0.000124467,0.000124467
4,1042.95,1.59782,4.1971,2.0087,0.38447,0.21413,0.2682,0.0856,2.45251,3.9076,2.91143,0.000123904,0.000123904,0.000123904
5,1301.59,1.6692,3.7752,2.07646,0.53599,0.30685,0.37716,0.1368,2.45754,3.88907,2.86483,0.000123056,0.000123056,0.000123056
6,1562.28,1.63402,3.43645,2.0619,0.59073,0.34239,0.46466,0.15296,2.55001,3.47938,2.79981,0.000121972,0.000121972,0.000121972
7,1823.11,1.57507,3.11939,1.97913,0.54375,0.42123,0.52395,0.1849,2.37418,3.90208,2.7067,0.000120655,0.000120655,0.000120655
8,2083.84,1.56835,2.86967,2.01115,0.55153,0.47531,0.48582,0.15098,2.59933,3.44367,3.00447,0.000119111,0.000119111,0.000119111
